model,param,mean,sd,ci_lo,ci_hi,prob_pos
약한 사전 분포,b1,0.30966580989089754,0.1402789372650488,0.045732481425000006,0.5835340550000001,0.9905
약한 사전 분포,b2,0.17255338248271,0.12791321095748565,-0.080898859775,0.42095842725000004,0.9145
약한 사전 분포,g1,-0.03647646637443545,0.1497177881853383,-0.3322312225,0.25874713275,0.40175
약한 사전 분포,gamma_M,-0.11747756159797251,0.276722986923588,-0.6750445255,0.4273926112500002,0.333
약한 사전 분포,gamma_Y,-0.07138269463396275,0.28001196060233935,-0.62388164525,0.46096056275,0.403
약한 사전 분포,alpha_M,0.578135967965575,0.25250282677064967,0.08692305685000001,1.0744848150000001,0.99
약한 사전 분포,alpha_Y,0.4226675377260223,0.2679360600038436,-0.1015913715,0.9584733992500001,0.9435
약한 사전 분포,indirect_effect,0.0532453234332511,0.04933523686430664,-0.02419176445,0.17093181325,0.9065
약한 사전 분포,total_effect,0.01676885703290816,0.1419858249430956,-0.267610103,0.2963905895000001,0.546
약한 사전 분포,prop_mediated,27.80021949992605,1510.7852969416992,-6.159987629999999,5.802201657500007,0.5295
강한 사전 분포,b1,0.32765500187290003,0.11483919331970344,0.1070816895,0.551171987,0.999
강한 사전 분포,b2,0.216330474215455,0.10666861172097077,0.009908828227500005,0.4301303922500001,0.98125
강한 사전 분포,g1,0.022849878364000247,0.11928092473213367,-0.2126599425,0.2563996357500001,0.573
강한 사전 분포,gamma_M,0.09580625069492,0.16496665705062452,-0.2148798335,0.42070754100000013,0.714
강한 사전 분포,gamma_Y,0.048140891020874,0.16146450883736946,-0.27547763200000003,0.3580416295000001,0.62775
강한 사전 분포,alpha_M,0.373792151780525,0.17679151453694406,0.026420839200000004,0.71479870475,0.98125
강한 사전 분포,alpha_Y,0.3301724962925475,0.18115300709624496,-0.024685455274999976,0.6846815670000002,0.96575
강한 사전 분포,indirect_effect,0.07083704839245575,0.044595586119596624,0.0022229681575,0.17061234375000003,0.98075
강한 사전 분포,total_effect,0.0936869267735799,0.11890161410261614,-0.14240827124999997,0.32995555600000004,0.78525
강한 사전 분포,prop_mediated,-4.477260002367811,290.35238103695673,-5.453423989999999,5.944183395000004,0.777
